date,US_1Y,US_2Y,US_3Y,US_5Y,US_10Y,US_20Y,US_30Y,DE_1Y,DE_2Y,DE_3Y,DE_5Y,DE_10Y,DE_20Y,DE_30Y,UK_1Y,UK_2Y,UK_3Y,UK_5Y,UK_10Y,UK_20Y
2011-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-09,-4.749371253538056e-06,-1.6974198230365015e-05,-2.021700642898149e-05,-2.3026997402456568e-05,-2.5300342402937826e-05,-2.2346116063055782e-05,-1.913009298754807e-05,3.468196615515842e-05,5.425029940178719e-05,6.324163631173273e-05,-0.27219127987856995,5.858446304935513e-05,5.6105058104281734e-05,5.488806580405263e-05,2.061314293137223e-05,3.679917714669056e-05,4.361264053994427e-05,4.8393258076410274e-05,4.632379027523402e-05,3.387556729808735e-05
2011-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-11,-4.614627618859772e-06,-1.6653930964998188e-05,-1.8152962228333753e-05,-2.014739715035597e-05,-2.329053780649167e-05,-1.9426760225392495e-05,-1.5204328299383344e-05,3.3952839603476495e-05,5.2652762271096535e-05,6.11146744015564e-05,-0.2698535107585953,5.527865719890969e-05,5.3545538969042725e-05,5.371653440604507e-05,2.1839246088127112e-05,3.774304170827311e-05,4.3689617653712404e-05,4.735887504062301e-05,4.471557466433752e-05,3.333188804579654e-05
2011-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-15,-5.06097813853544e-06,-1.6629236183122603e-05,-1.878617597557998e-05,-2.1534123460243637e-05,-2.2252877505919476e-05,-1.7756625671181044e-05,-1.4281619905136872e-05,3.370794731009398e-05,5.2303602292060034e-05,6.086443908172943e-05,-0.26730393851029105,5.531796659713766e-05,5.373714976929408e-05,5.542792498465531e-05,2.1472743387406652e-05,3.691193186999249e-05,4.2650095263299615e-05,4.633079661696594e-05,4.409674688770074e-05,3.191949783486778e-05
2011-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-17,-4.1028758561879115e-06,-1.999122570308678e-05,-2.1012848780544606e-05,-2.479603366528782e-05,-2.396124642182669e-05,-1.977959966703524e-05,-1.5183522385734758e-05,3.1055098650314615e-05,4.949285894995268e-05,5.845574136227225e-05,-0.26135386601618427,5.426087670640423e-05,5.20286480139858e-05,5.601010116169567e-05,2.210666479310146e-05,3.685331092661743e-05,4.2689484855333275e-05,4.670133024435967e-05,4.2869654667875594e-05,2.9187559210006206e-05
2011-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-21,-3.854908865555631e-06,-2.4064196055151438e-05,-2.5606767640786377e-05,-3.0420895255224724e-05,-2.9566265852736985e-05,-2.410174785058945e-05,-1.726247844614618e-05,3.696069576618716e-05,5.855118990166732e-05,6.859810905202408e-05,-0.31160438635956417,6.161581311468595e-05,5.985412216882228e-05,6.45757604975119e-05,2.7589913574196666e-05,4.490849239253823e-05,5.1382388669236386e-05,5.56825477474269e-05,5.085957336935901e-05,3.4023164607761886e-05
2011-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-23,-3.7267645805890465e-06,-2.618917485918271e-05,-2.913858955915687e-05,-3.430337545600373e-05,-3.237409388838863e-05,-2.6349085893972112e-05,-1.9022139714836416e-05,4.123146109019602e-05,6.653130643517237e-05,7.831561185334698e-05,-0.35548766433413953,6.90517746999087e-05,6.692084856367892e-05,7.060529683636085e-05,3.335262612752181e-05,5.315644253435956e-05,6.020177063533538e-05,6.427644435567613e-05,5.7901485634084284e-05,3.960320034856688e-05
2011-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-25,2.068349058560834e-05,0.00013623190345386378,0.00018461962204816573,-0.36693980085613626,0.0002504288225326737,0.00021392357427522165,0.00018310923825512563,-3.486933954756763e-05,-4.036455300110952e-05,-4.055950140245612e-05,-3.590450384435124e-05,-2.7997054150863453e-05,-2.5381335599606e-05,-1.6220305810124217e-05,2.7894689741941596e-05,4.4745429171752376e-05,4.761258218515368e-05,4.596789631841375e-05,4.0010421749618666e-05,3.083255395426839e-05
2011-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,1.887899641930372e-05,0.00012857156638729572,0.00017638802320860884,-0.3603031179901259,0.0002438108751414892,0.00020969802742646748,0.00018057777774663775,-3.564424787482681e-05,-4.240355544848318e-05,-4.35056350377975e-05,-3.9011997951276584e-05,-2.7001500173242147e-05,-2.2073259472573836e-05,-1.5836120273795784e-05,2.7627895315043252e-05,4.4354573816819136e-05,4.743892862294241e-05,4.567769905026291e-05,3.86946651907328e-05,2.9689466494295348e-05
2011-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-03,-1.3890310148029545e-05,-9.192392059612626e-05,-0.00012816109202670883,-0.00016774927858842397,-0.00017746068444780748,-0.00015583588672385477,0.3402285882860707,2.433035184906481e-05,2.7944363949936146e-05,2.83343165251108e-05,2.5496535597418302e-05,1.8457882685575256e-05,1.3984235183066036e-05,7.365594776589745e-06,-2.681515847535836e-05,-4.269862236281319e-05,-4.605647532730326e-05,-4.533532496559396e-05,-4.0053995151485255e-05,-3.1517797389652974e-05
